ID,Team,Number,Name,Position,Height,Weight
685,Pittsburgh,41,Robert Bortuzzo  ,D,76,215
686,Pittsburgh,47,Simon Despres  ,D,76,214
687,Pittsburgh,10,Christian Ehrhoff  ,D,74,205
688,Pittsburgh,6,Scott Harrington  ,D,74,201
689,Pittsburgh,58,Kris Letang  ,D,72,201
690,Pittsburgh,3,Olli Maatta   **,D,74,206
691,Pittsburgh,7,Paul Martin  ,D,73,200
692,Pittsburgh,4,Rob Scuderi  ,D,73,212
708,Washington,27,Karl Alzner  ,D,74,217
709,Washington,74,John Carlson  ,D,75,212
710,Washington,4,John Erskine  ,D,76,220
711,Washington,52,"Mike Green ""A"" ",D,73,207
712,Washington,38,Jack Hillen  ,D,70,190
713,Washington,2,Matt Niskanen  ,D,72,209
714,Washington,61,Steve Oleksy  ,D,72,190
715,Washington,44,Brooks Orpik  ,D,74,219
736,New York Rangers,22,Dan Boyle,D,71,194
737,New York Rangers,5,Dan Girardi,D,73,212
738,New York Rangers,48,Matt Hunwick,D,71,194
739,New York Rangers,8,Kevin Klein,D,73,206
740,New York Rangers,21,Michael Kostka,D,73,210
741,New York Rangers,27,Ryan McDonagh (A),D,73,215
742,New York Rangers,25,Dylan McIlrath,D,77,232
743,New York Rangers,2,John Moore,D,75,207
744,New York Rangers,18,Marc Staal,D,76,208
745,New York Rangers,55,Chris Summers,D,74,207
746,New York Rangers,3,Keith Yandle,D,73,192
23,Anaheim,31,Frederik Andersen  ,G,75,236
24,Anaheim,80,Ilya Bryzgalov  ,G,75,213
47,Arizona,31,Michael Lee  ,G,73,185
48,Arizona,41,Mike Smith  ,G,76,215
73,Calgary,1,Jonas Hiller  ,G,74,192
74,Calgary,37,Joni Ortio  ,G,73,185
75,Calgary,31,Karri Ramo   **,G,74,206
97,Edmonton,35,Viktor Fasth  ,G,72,181
98,Edmonton,30,Ben Scrivens  ,G,74,181
121,Los Angeles,31,Martin Jones  ,G,76,187
122,Los Angeles,32,Jonathan Quick  ,G,73,220
146,San Jose,31,Antti Niemi  ,G,74,210
147,San Jose,32,Alex Stalock  ,G,72,190
168,Vancouver,31,Eddie Lack  ,G,76,187
169,Vancouver,30,Ryan Miller  ,G,74,168
192,Chicago,50,Corey Crawford  ,G,74,216
193,Chicago,31,Antti Raanta  ,G,72,193
218,Colorado,31,Calvin Pickard  ,G,73,200
219,Colorado,1,Semyon Varlamov  ,G,74,209
244,Dallas,32,Kari Lehtonen  ,G,76,210
245,Dallas,29,Anders Lindback  ,G,78,215
270,Minnesota,32,Niklas Backstrom  ,G,74,194
271,Minnesota,40,Devan Dubnyk  ,G,78,210
272,Minnesota,35,Darcy Kuemper   **,G,77,205
294,Nashville,30,Carter Hutton  ,G,73,195
295,Nashville,39,Marek Mazanec  ,G,76,187
296,Nashville,35,Pekka Rinne  ,G,77,204
318,St. Louis,34,Jake Allen  ,G,74,195
319,St. Louis,30,Martin Brodeur  ,G,74,220
320,St. Louis,1,Brian Elliott  ,G,74,209
344,Winnipeg,34,Michael Hutchinson  ,G,75,202
345,Winnipeg,31,Ondrej Pavelec  ,G,75,218
367,Boston,40,Tuukka Rask  ,G,74,185
368,Boston,72,Niklas Svedberg  ,G,72,176
392,Buffalo,1,Jhonas Enroth  ,G,70,166
393,Buffalo,34,Michal Neuvirth  ,G,73,209
